metric,median,mean,95pct
rms_deg_median,7.259352863150522,12.361676500456035,33.64330446977112
rms_deg_mean,12.361676500456035,12.361676500456035,12.361676500456035
rms_deg_95pct,33.64330446977112,33.64330446977112,33.64330446977112
max_deg_median,36.57222147719484,39.40630426823926,74.42996089256947
max_deg_mean,39.40630426823926,39.40630426823926,39.40630426823926
max_deg_95pct,74.42996089256947,74.42996089256947,74.42996089256947
effort_median,0.01716691422875238,0.017174384658258483,0.017230717661749065
effort_mean,0.017174384658258483,0.017174384658258483,0.017174384658258483
effort_95pct,0.017230717661749065,0.017230717661749065,0.017230717661749065
sat_fraction_median,0.99925,0.9988166666666668,1.0
sat_fraction_mean,0.9988166666666668,0.9988166666666668,0.9988166666666668
sat_fraction_95pct,1.0,1.0,1.0
settling_time_after_disturb_s_median,0.0,0.0,0.0
settling_time_after_disturb_s_mean,0.0,0.0,0.0
settling_time_after_disturb_s_95pct,0.0,0.0,0.0
estimator_rms_deg_median,5.190537753076072,10.862686469706063,32.219035810465286
estimator_rms_deg_mean,10.862686469706063,10.862686469706063,10.862686469706063
estimator_rms_deg_95pct,32.219035810465286,32.219035810465286,32.219035810465286
